Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Age,Month_register,Sum_Purchases,Count_Campaigns,Count_Purchases,Children,Family_Size,Marital_Status_Children,target
Graduation,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,59,45,1617,1,22,0,1,Single,2
Graduation,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,62,27,27,0,4,2,3,Family with Children,1
Graduation,Relationship,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,51,34,776,0,20,0,2,Relationship,2
Graduation,Relationship,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,32,28,53,0,6,1,3,Family with Children,1
PhD,Relationship,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,35,29,422,0,14,1,3,Family with Children,0
Master,Relationship,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,49,33,716,0,20,1,3,Family with Children,0
Graduation,Single,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,45,43,590,0,17,1,2,Family with Children,0
PhD,Relationship,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,31,37,169,0,8,1,3,Family with Children,1
PhD,Relationship,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,42,36,46,1,5,1,3,Family with Children,1
PhD,Relationship,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,0,66,27,49,1,1,2,4,Family with Children,1
Basic,Relationship,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,40,43,61,0,5,0,2,Relationship,1
Graduation,Single,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,57,31,1102,0,15,0,1,Single,2
Master,Single,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,64,31,310,0,12,2,3,Family with Children,1
Graduation,Relationship,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,29,44,46,0,4,0,2,Relationship,1
PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,70,43,1315,3,25,0,1,Single,2
Graduation,Relationship,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,36,42,96,0,6,2,4,Family with Children,1
Graduation,Relationship,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,70,46,317,0,11,0,2,Relationship,1
Master,Relationship,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,67,39,1782,1,24,1,3,Family with Children,0
2n Cycle,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,31,43,133,0,6,1,2,Family with Children,1
Graduation,Relationship,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,34,46,316,0,11,0,2,Relationship,1
Graduation,Relationship,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,37,41,1730,0,28,1,3,Family with Children,0
PhD,Relationship,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,67,42,972,1,14,1,3,Family with Children,0
PhD,Relationship,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,62,29,544,0,17,1,3,Family with Children,0
Graduation,Relationship,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,65,39,444,0,13,1,3,Family with Children,0
Graduation,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,47,41,75,0,6,0,1,Single,1
Graduation,Relationship,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,40,37,257,0,10,2,4,Family with Children,1
Graduation,Relationship,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,27,37,131,0,7,1,3,Family with Children,1
PhD,Relationship,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,51,31,1672,1,25,0,2,Relationship,2
Master,Single,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,27,25,30,0,6,0,1,Single,1
Master,Relationship,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,53,37,318,0,10,0,2,Relationship,1
Graduation,Relationship,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,46,44,120,1,7,1,3,Family with Children,1
PhD,Single,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,64,44,302,1,11,2,3,Family with Children,0
Master,Relationship,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,70,40,1196,0,17,0,2,Relationship,2
Master,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,65,34,65,0,5,2,3,Family with Children,1
PhD,Relationship,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,46,30,913,0,23,1,3,Family with Children,0
2n Cycle,Relationship,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,40,33,81,0,6,1,3,Family with Children,1
Graduation,Single,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,43,28,67,0,5,1,2,Family with Children,1
PhD,Single,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,0,73,40,902,2,22,0,1,Single,2
Graduation,Relationship,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,36,38,1395,0,19,1,3,Family with Children,0
Master,Relationship,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,31,39,53,0,5,1,3,Family with Children,1
Graduation,Relationship,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,59,42,22,0,3,1,3,Family with Children,1
Master,Relationship,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,41,32,31,0,5,1,3,Family with Children,1
Graduation,Single,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,40,24,984,0,15,0,1,Single,2
2n Cycle,Relationship,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,20,43,122,1,7,0,2,Relationship,1
Graduation,Relationship,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,48,37,55,0,4,1,3,Family with Children,1
PhD,Relationship,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,62,43,1319,0,19,2,4,Family with Children,0
Graduation,Single,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,59,25,507,0,16,1,2,Family with Children,0
Master,Relationship,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,52,46,1693,0,28,0,2,Relationship,2
Graduation,Single,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,39,41,72,0,5,1,2,Family with Children,1
Graduation,Single,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,0,39,24,1617,3,20,0,1,Single,2
Graduation,Relationship,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,38,36,606,0,16,2,4,Family with Children,0
Master,Relationship,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,61,43,1957,2,26,0,2,Relationship,2
Graduation,Single,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,50,38,1093,1,20,0,1,Single,2
Graduation,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,28,26,29,0,5,1,2,Family with Children,1
PhD,Relationship,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,48,27,518,0,16,1,3,Family with Children,0
Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,34,35,1438,3,20,0,1,Single,2
Graduation,Relationship,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,41,45,612,0,18,2,4,Family with Children,0
Graduation,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,64,40,884,0,20,1,2,Family with Children,0
PhD,Single,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,65,36,606,0,18,1,2,Family with Children,0
Graduation,Relationship,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,68,30,1076,0,15,0,2,Relationship,2
Graduation,Relationship,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,45,37,34,1,4,1,3,Family with Children,1
Graduation,Relationship,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,49,25,11,0,3,2,4,Family with Children,1
2n Cycle,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,0,37,27,1274,3,31,1,2,Family with Children,2
Graduation,Relationship,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,58,33,653,0,17,1,3,Family with Children,0
Graduation,Relationship,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,46,38,1562,0,12,3,5,Family with Children,0
Master,Relationship,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,62,45,1253,0,18,0,2,Relationship,2
Graduation,Relationship,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,57,39,863,0,26,1,3,Family with Children,0
PhD,Relationship,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,41,38,661,1,19,2,4,Family with Children,0
Graduation,Relationship,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,64,26,65,0,7,0,2,Relationship,1
Graduation,Single,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,39,42,13,0,3,1,2,Family with Children,1
Master,Relationship,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,44,46,1890,1,18,0,2,Relationship,2
Graduation,Single,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,0,40,44,2209,2,22,0,1,Single,2
2n Cycle,Relationship,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,1,40,33,18,0,3,0,2,Relationship,1
Graduation,Relationship,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,0,51,41,692,2,19,0,2,Relationship,2
Graduation,Single,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,31,46,165,0,8,1,2,Family with Children,1
Graduation,Relationship,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,47,36,16,0,3,1,3,Family with Children,1
2n Cycle,Relationship,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,43,35,79,0,6,1,3,Family with Children,1
Master,Relationship,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,53,37,318,0,10,0,2,Relationship,1
Graduation,Single,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,29,28,778,0,26,0,1,Single,2
Graduation,Relationship,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,56,34,56,0,5,2,4,Family with Children,1
Master,Relationship,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,46,35,151,1,8,2,4,Family with Children,1
Graduation,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,59,25,372,3,13,1,2,Family with Children,0
Graduation,Relationship,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,43,25,1366,1,18,0,2,Relationship,2
Graduation,Relationship,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,49,29,194,0,9,1,3,Family with Children,1
Master,Single,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,44,27,32,0,4,1,2,Family with Children,1
PhD,Relationship,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,46,25,43,0,7,1,3,Family with Children,1
Graduation,Relationship,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,33,25,45,0,5,1,3,Family with Children,1
Graduation,Single,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,56,43,606,1,17,1,2,Family with Children,0
Graduation,Single,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,44,38,63,0,5,2,3,Family with Children,1
2n Cycle,Relationship,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,65,30,978,1,24,0,2,Relationship,2
PhD,Relationship,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,33,36,410,0,14,0,2,Relationship,2
2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,56,35,72,0,5,1,2,Family with Children,1
PhD,Single,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,57,27,55,0,5,1,2,Family with Children,1
Graduation,Relationship,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,37,38,1169,0,25,1,3,Family with Children,0
PhD,Relationship,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,71,37,1120,0,15,0,2,Relationship,2
Graduation,Relationship,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,57,25,1097,1,19,0,2,Relationship,2
Basic,Relationship,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,37,30,29,0,4,1,3,Family with Children,1
Graduation,Relationship,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,52,33,187,0,9,2,4,Family with Children,1
Graduation,Relationship,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,47,40,910,0,22,2,4,Family with Children,0
Graduation,Single,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,38,42,145,0,7,1,2,Family with Children,1
